,index,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,City_Name,Rating,Reviews,Location,AC_Availability,Wifi_Availability
271,315,Capital O 76760 Hotel Ascot International Ii,"India, Mumbai",1446.0,3304.0,56.0, Doctor on Call  Reception  Ticket Tour Assistance  + 18 more,Mumbai,3.5,Good,India,No,No
272,393,OYO 79202 Supreme Suite's,"Bangalore Urban, Bangalore",1272.0,2422.0,47.0, Parking Facility  Elevator  Free Wifi  + 5 more,Bangalore,3.5,Good,Bangalore Urban,No,Yes
273,579,OYO 68189 Durga Deluxe,"Near Classic Automotive, Nagavara, Bangalore",1375.0,2671.0,48.0, Doctor on Call  Hair Dryer  Parking Facility  + 20 more,Bangalore,3.5,Good, Nagavara,No,No
274,241,OYO 74855 Hotel Nirmal Inn,"Near Chakala Sigarette Factory, Chakala, Mumbai",1338.0,2651.0,49.0, Reception  Refrigerator  Card Payment  + 16 more,Mumbai,3.5,Good, Chakala,No,No
275,179,SPOT ON 49298 Hotel Midland Lodge,"Centrally Located, Near Nampally Railway Station, Hyderabad",888.0,1876.0,52.0, TV  Reception  AC  + 37 more,Hyderabad,3.5,Good, Near Nampally Railway Station,Yes,No
276,551,Capital O BLR2499 Comfort Delight Hotel ,"India, Bangalore",1408.0,2824.0,50.0, Reception  Public Washroom  Security  + 17 more,Bangalore,3.5,Good,India,No,No
277,36,OYO 75538 Hotel Vijay,"Near Shantiniketan Educational Institute, BTM Layout, Bnagalore",1216.0,2315.0,47.0, AC  TV ,Bangalore,3.5,Good, BTM Layout,Yes,No
278,189,OYO 7046 Hotel Guest Inn,"Near Maharashtra Weight Bridge, LBS Marg, Mumbai",902.0,2512.0,64.0, Free Wifi  Geyser  CCTV Cameras  + 5 more,Mumbai,3.5,Good, LBS Marg,No,Yes
279,544,SPOT ON 47477 Hotel Maurya Paradise Inn,"Near Msrit, Mathikere Extension, Bangalore",778.0,2163.0,64.0, Window  Reception  Daily Housekeeping  + 6 more,Bangalore,3.5,Good, Mathikere Extension,No,No
280,18,OYO 80506 Hotel Mahi,"Below sakinaka metro station, Andheri East",1014.0,2155.0,52.0, Reception  Security  24/7 Checkin  + 10 more,Mumbai,3.5,Good,Below sakinaka metro station,No,No
281,279,Collection O Shri Rama Gokula,"Bangalore - 560008., Bangalore",1011.0,2309.0,56.0, Elevator  Free Wifi  CCTV Cameras  + 8 more,Bangalore,3.5,Good,Bangalore - 560008.,No,Yes
282,72,OYO 9327 Royce Executive,"Near Kapadia Nagar, CST Road, Mumbai",1540.0,3608.0,57.0, Dress Hanger  Twin Single Bed  AC  + 24 more,Mumbai,3.5,Good, CST Road,Yes,No
283,197,OYO 77551 Tanvi Guest House,"India, Mumbai",1351.0,2572.0,47.0, Doctor on Call  Reception  Public Washroom  + 11 more,Mumbai,3.5,Good,India,No,No
284,90,OYO 45125 Banashankari Comforts,"Near CBI Office, Ganganagar, Bangalore",1584.0,3017.0,47.0, Power backup  24/7 Checkin  AC  + 28 more,Bangalore,3.5,Good, Ganganagar,Yes,No
285,74,SPOT ON 65553 Star Royal,"Andheri Kurla Road, Sakinaka, Mumbai",1014.0,2116.0,52.0, AC  TV  Queen Sized Bed ,Mumbai,3.5,Good, Sakinaka,Yes,No
286,256,OYO 8678 Hotel Golden Nest,"Near Bajsons Industries, Andheri East, Mumbai",1216.0,2956.0,58.0, Free Wifi  Geyser  CCTV Cameras  + 6 more,Mumbai,3.5,Good, Andheri East,No,Yes
287,223,OYO 26650 R Square,"Near L B nagar D- Mart, Hyderabad",1317.0,2884.0,54.0, Reception  Free Wifi  Power backup  + 14 more,Hyderabad,3.5,Good,Near L B nagar D- Mart,No,Yes
288,401,OYO 80837 Hotel Hyderabad Heights ,"Asifnagar mandal, Hyderabad",1437.0,2737.0,47.0, Reception  Cot  Caretaker  + 31 more,Hyderabad,3.5,Good,Asifnagar mandal,No,No
