,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,Ratings,City_Name
579,OYO 68189 Durga Deluxe,"Near Classic Automotive, Nagavara, Bangalore",₹1375,₹2671,48% off, Doctor on Call  Hair Dryer  Parking Facility  + 20 more,3.5 (65 Ratings)·Good,Bangalore
580,OYO 9439 Sri Sai Comforts,"Near Teacher's Colony Park, Koramangala, Bangalore",₹1216,₹3066,60% off, Parking Facility  Free Wifi  Geyser  + 8 more,3.6 (266 Ratings)·Good,Bangalore
581,OYO 75449 Aishwarya Luxury Rooms,"Near M.S.Ramaiah Hospital, Devasandra Layout, Bangalore",₹1531,₹3498,56% off, Private Entrance  Reception  Free Wifi  + 14 more,,Bangalore
582,SPOT ON 80667 S.s.l.n Comforts,"Bangalore Urban, Bangalore",₹722,₹1375,47% off, Reception  Caretaker  CCTV Cameras  + 4 more,3.6 (36 Ratings)·Good,Bangalore
583,OYO 431 Hotel Maple In,"Near Barista Coffee Bar, Koramangala, Bangalore",₹1296,₹2792,53% off, AC  AC  TV  + 6 more,,Bangalore
584,OYO 78310 2BHK Homes near Apollo Hospital.,"Bilekahalli, Bangalore",₹1416,₹2697,47% off, Free Wifi  CCTV Cameras  Power backup  + 2 more,3.7 (210 Ratings)·Good,Bangalore
585,Capital O 69041 Yo Hotel,"Near SR Krishnappa Garden, Swagath Road, Bangalore",₹1289,₹2639,51% off, Reception  Free Wifi  Power backup  + 8 more,4.0 (1451 Ratings)·Very Good,Bangalore
586,Capital O 74788 Hotel Nandhana Pride ,"Near Manyata Tech Park, Byatarayanapura, Bangalore",₹1467,₹2794,47% off, Parking Facility  Reception  Free Wifi  + 15 more,4.2 (336 Ratings)·Very Good,Bangalore
587,OYO 13933 Varcity Pearl,"Near Forum Mall, Koramangala, Bangalore",₹1216,₹2315,47% off, Elevator  Free Wifi  Geyser  + 5 more,4.3 (2190 Ratings)·Very Good,Bangalore
588,OYO 3664 Hotel Shivaal's Residency,"Rajajinagar, Bangalore",₹2213,₹4215,47% off, Parking Facility  Free Wifi  Power backup  + 11 more,4.0 (503 Ratings)·Very Good,Bangalore
589,Collection O 12684 Compact Green View,"Near Ejipura Bus stand, Ashwini Layout, Bangalore",₹1255,₹2622,52% off, Parking Facility  Free Wifi  CCTV Cameras  + 6 more,4.6 (2186 Ratings)·Excellent,Bangalore
