,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,Ratings,City_Name
357,OYO 80411 Vasu Hotel,"Opp: Sarojini devi eye hospital, P V Express pillar NO 1, Humayun nagar, Mehdipatnam road , Hyderabad 500028",₹1249,₹2854,56% off, Reception  Daily Housekeeping  AC  + 6 more,4.1 (76 Ratings)·Very Good,Hyderabad
358,SPOT ON 68046 Rainbow Hotel,"Near KIMS Hospital, Opp James Street Railway Station, Sec'bad",₹999,₹1902,47% off, AC  Reception  King Sized Bed  + 10 more,3.9 (118 Ratings)·Good,Hyderabad
359,OYO 70733 Hotel Regal,"Near paradise Restaurant, M.G.Road, Ramgopalpet, HYDERABAD",₹997,₹1995,50% off, Private Entrance  Reception  Free Wifi  + 14 more,4.1 (1753 Ratings)·Very Good,Hyderabad
360,OYO 81050 Omkar Residency,"India, Mumbai",₹1628,₹3101,47% off, Doctor on Call  Caretaker  Daily Housekeeping  + 7 more,,Mumbai
361,OYO 43828 Hotel Zara Inn,"SV Patel Nagar, Mhada, Mumbai",₹1216,₹3223,62% off, Reception  Free Wifi  24/7 Checkin  + 11 more,3.7 (650 Ratings)·Good,Mumbai
362,OYO 9849 Hotel Divine Residency,"Near Chirag Nagar Police Station, LBS Marg, Mumbai",₹2438,₹4644,47% off, Parking Facility  Elevator  Free Wifi  + 8 more,4.6 (663 Ratings)·Excellent,Mumbai
363,OYO Flagship 17200 Hotel Neelkamal Chembur,"Near BKC, Umarshi Bappa Chowk, Chembur, Mumbai ",₹3364,₹6408,47% off, Reception  Free Wifi  Refrigerator  + 13 more,4.2 (1303 Ratings)·Very Good,Mumbai
364,OYO 76180 Hotel Meriton,"Andheri east, Mumbai",₹1661,₹3297,49% off, Private Entrance  Parking Facility  Reception  + 16 more,,Mumbai
365,OYO 1166 Hotel Accore Inn,"Andheri East, Mumbai",₹1618,₹3081,47% off, Free Wifi  Geyser  AC  + 7 more,4.0 (2 Ratings)·Very Good,Mumbai
366,OYO 75196 Delight Inn 2,"Mumbai, Mumbai",₹1680,₹3199,47% off, Free Wifi  CCTV Cameras  AC  + 3 more,,Mumbai
367,OYO 789 Hotel Airport Annex,"Near Twin Arcade, Andheri East, Mumbai",₹1410,₹4130,65% off, Parking Facility  Free Wifi  Card Payment  + 12 more,3.5 (109 Ratings)·Good,Mumbai
368,OYO 80898 The Om Sai Residency,"India, Mumbai",₹1313,₹3001,56% off, Parking Facility  Reception  Ticket Tour Assistance  + 9 more,4.2 (14 Ratings)·Very Good,Mumbai
369,CAPITAL O4482 Ascot International,"Near Akruti orchid park, Safed Pul, Mumbai",₹1906,₹3631,47% off, Reception  Free Wifi  AC  + 4 more,4.2 (211 Ratings)·Very Good,Mumbai
370,OYO 28751 Aadya International,"Near Marol Naka metro station, Navpada, Mumbai",₹1327,₹4076,67% off, Free Wifi  Geyser  CCTV Cameras  + 5 more,4.3 (45 Ratings)·Very Good,Mumbai
371,OYO Home 47863 Luxurious Stay Bandra East,"Near Reliance entertainment centre, Kherwadi, Mumbai",₹1964,₹3741,47% off, Elevator  Free Wifi  CCTV Cameras  + 5 more,3.5 (349 Ratings)·Good,Mumbai
372,OYO 13885 Metro Residency,"Near Mahatma Gandhi School, Behram Baug Road, Mumbai",₹1702,₹3242,47% off, Reception  Free Wifi  Caretaker  + 12 more,3.6 (217 Ratings)·Good,Mumbai
373,OYO 16446 Hotel Veera Residency,"Near Hanuman Nagar, Andheri East, Mumbai",₹1867,₹4224,55% off, Parking Facility  Free Wifi  Card Payment  + 11 more,4.1 (282 Ratings)·Very Good,Mumbai
374,OYO 3630 Hotel Ajwa,"Near Asalpha Metro Station, Mumbai",₹1445,₹3130,53% off, Private Entrance  Hair Dryer  Reception  + 18 more,4.8 (14 Ratings)·Excellent,Mumbai
375,Capital O 62560 Hotel Zaid International,"Near Huntsman Building, Marol, Mumbai",₹2995,₹5705,47% off, Private Entrance  Parking Facility  Reception  + 17 more,4.4 (388 Ratings)·Very Good,Mumbai
376,OYO 6202 Ashir Inn,"Opp. Seven Hills Hospital, Andheri East, Mumbai",₹1663,₹3168,47% off, Free Wifi  Card Payment  TV  + 10 more,5.0 (4 Ratings)·Fabulous,Mumbai
377,Capital O 81368 Hotel Pacific,"India, Mumbai",₹1904,₹4352,56% off, Reception  Free Wifi  Security  + 10 more,,Mumbai
378,Capital O 71678 Hotel Sea Woods,"Near shivaji nagar, Tara, Mumbai",₹2307,₹4394,47% off, Elevator  Reception  Free Wifi  + 9 more,3.8 (717 Ratings)·Good,Mumbai
379,OYO 10006 Hotel Blue Bay,"Veer Savarkar Marg, Vikhroli West, Mumbai",₹1942,₹4439,56% off, Parking Facility  Free Wifi  Geyser  + 6 more,4.0 (277 Ratings)·Very Good,Mumbai
380,Capital O 74657 Nandhana Regent,"Near Koramangala Rto, Bda Complex, Bangalore",₹1216,₹2315,47% off, Cot  AC  Bedside Table / Desk  + 5 more,4.3 (721 Ratings)·Very Good,Bangalore
381,Collection O 30004  Malleswaram,"Near Bsnl Office, Emerald Residency, Bangalore",₹1669,₹3598,53% off, Free Wifi  AC  TV ,4.6 (1796 Ratings)·Excellent,Bangalore
382,OYO 79745 My Own Nest,"Bangalore, Bangalore",₹1005,₹2161,53% off, Doctor on Call  Reception  Free Wifi  + 16 more,4.2 (185 Ratings)·Very Good,Bangalore
383,OYO 7558 Galaxy Comfort Inn,"Shivaji Nagar, Bangalore",₹1288,₹2454,47% off, Hair Dryer  Free Wifi  Power backup  + 10 more,,Bangalore
384,OYO 13567 Sri Sai Guru Comforts,"Near Kalyan Nagar, Babu Sahibpalya, Bangalore",₹1949,₹4454,56% off, Free Wifi  Power backup  Card Payment  + 10 more,4.5 (255 Ratings)·Excellent,Bangalore
385,OYO 25036 Suraksha Residency,"Near 6th Cross Road, Gandhi Nagar, Bangalore",₹1216,₹2325,47% off, Reception  Free Wifi  Power backup  + 11 more,4.0 (308 Ratings)·Very Good,Bangalore
386,OYO 38410 Hotel Hsr Comforts,"Near Yesvantpur Junction Railway Station, Bangalore",₹1527,₹3150,51% off, Reception  Free Wifi  Power backup  + 14 more,4.2 (231 Ratings)·Very Good,Bangalore
387,OYO Home  81332 Shiva Shakthi Inn,"Bommanahalli Zone JP Nagar Bangalore, Bangalore",₹928,₹1768,47% off, Elevator  Private Entrance  Power backup  + 5 more,4.2 (21 Ratings)·Very Good,Bangalore
388,Capital O 5381 The Emirates Hotel,"Near Total Mall, Madiwalla, Bangalore",₹1355,₹2581,47% off, Parking Facility  Free Wifi  Power backup  + 18 more,3.6 (549 Ratings)·Good,Bangalore
389,OYO 76339 Sai Orchid ,"West Zone, Bangalore",₹1383,₹3180,56% off, Reception  Free Wifi  Power backup  + 8 more,4.0 (235 Ratings)·Very Good,Bangalore
390,"OYO TOWNHOUSE 014, MG Road","Shivaji Nagar, Bangalore",₹2379,₹4531,47% off, Free Wifi  Caretaker  Card Payment  + 13 more,4.2 (134 Ratings)·Very Good,Bangalore
391,SPOT ON BLR2568 Blooms Inn,"3rd cross madiwala extension 1st stage Btm layout bangalore , Bangalore",₹987,₹1879,47% off, TV  Reception  CCTV Cameras  + 4 more,4.2 (112 Ratings)·Very Good,Bangalore
392,OYO 81310 Collection O Hotel Maharaja,"Rajarajeshwari Nagar Zone, Bangalore",₹1791,₹3411,47% off, AC  TV ,,Bangalore
393,OYO 79202 Supreme Suite's,"Bangalore Urban, Bangalore",₹1272,₹2422,47% off, Parking Facility  Elevator  Free Wifi  + 5 more,3.5 (23 Ratings)·Good,Bangalore
394,Collection O 74285 Grand Continent Indira Nagar ,"Near Metro Station, Indira Nagar, Bangalore",₹1875,₹3571,47% off, Private Entrance  Reception  Free Wifi  + 12 more,4.5 (655 Ratings)·Excellent,Bangalore
395,SPOT ON 72596 Royal Regency ,"Centrally Located, Near Movieland Theatre, RK Puram, Bangalore",₹1227,₹2337,47% off, TV  Parking Facility  AC  + 10 more,3.9 (565 Ratings)·Good,Bangalore
